url,old_status,new_status,http_status,row_count,error,manual_reader_status,manual_reader_note
https://makesafetyeasy.com/blog/chemical-storage-safety-guide,network_error,network_error,,3,"ConnectTimeout: HTTPSConnectionPool(host='makesafetyeasy.com', port=443): Max retries exceeded with url: /blog/chemical-storage-safety-guide (Caused by ConnectTimeoutError(<HTTPSConnection(host='makesafetyeasy.com', port=443) at 0x22524b35450>, 'Connection to makesafetyeasy.com timed out. (connect timeout=15)'))",web_reader_open_html,manual web-reader review 2026-07-28; content retrieved
https://www.agilent.com/cs/library/brochures/Getting_your_HPLC_Back_up_and_running_flyer.pdf,network_error,network_error,,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_open_pdf,manual web-reader review 2026-07-28; content retrieved
https://www.agilent.com/cs/library/eseminars/public/gc-detector-design-troubleshooting-flame-ionization-fid-theory-basics-gas-flows-july212020.pdf,network_error,network_error,,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/primers/public/Best_Practice_LC_Operations.pdf,network_error,network_error,,2,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/sitepreparationchecklists/7800_7900_ICP-MS_Site_Preparation_Checklist_Rev.B.pdf,network_error,network_error,,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/sitepreparationchecklists/Agilent%208890%20GC%20Site%20Preparation%20Checklist.pdf,network_error,network_error,,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/usermanuals/public/5971-6636_Atomic_Safety_Info_EN.pdf,network_error,network_error,,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/usermanuals/public/7890A%20GC%20User%20Manual%20Collection.pdf,network_error,network_error,,2,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/usermanuals/public/7890B_Safety.pdf,network_error,network_error,,3,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
https://www.agilent.com/cs/library/usermanuals/public/9000_Operation.pdf,network_error,network_error,,1,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",web_reader_error_or_blocked,"manual web-reader review 2026-07-28; 403, safety refusal, or internal fetch error"
